ID,이름,등급,특징,능력,스토리
1,지바,common,시끄럽다.,무능력,친구들과 떠들다가 주위를 살피지 못해 너구리판다한테 납치됐다. 
2,프럼,common,게으르다.,무능력,알람을 못 듣고 계속 자다가 E성향이 강한 판다에게 납치 됐다.
3,이브,common,내기를 좋아한다.,무능력,누가 판다인 줄도 모르고 어마어마한 금액을 두고 내기하다 져서 찍 소리도 못하고 대신 팔려갔다.
4,알리,common,씩씩하다,무능력,동료들을 지키기위해 앞장서 플럼 월드를 지키다가 동료들의 배신으로 판다 행성에 갈 수 밖에 없는 상황이었다.
13,캥붕,unique,강하다. 싸움짱,점프게임 점수 환산 재화 + 20%,판다 행성에서 캥붕이가 싸움을 잘하는 걸 눈치채고 천문학적인 금액으로 스카웃 했다. 당시 조건 중 캥붕 가족의 미래 안정이 있었으나 판다 행성은 지키지 않았다. 캥붕 가족의 행방은 묘연하다..
6,플루,rare,호기심이 많다.,동굴탈출게임 점수 환산 재화 + 10%,"호기심이 많지만 스스로 해결하려는 능력이 없다. 그래서 지나가는 사람을 붙잡고 궁금증을 해결한다. 어느 날 플루가 잡은 사람은 판다였고, 그 판다는 핑프를 싫어했다."
7,돌이,rare,어딘가 모자란 사랑꾼이다.,참참참 게임 환산 재화 + 10%,금단의 사랑. 판다행성의 누군가를 좋아했다. 플럼 월드에서 유일하게 대책없이 판다행성에 갔다. 
14,자바,unique,객체 지향 프로그래밍 실력이 뛰어나다.,"동굴탈출, 스키 게임 점수 환산 재화 각 +10%",동방에서 '어…?' 하다가 판다에게 끌려갔다.
8,캐리,rare,빠르다.,동굴탈출게임점수  환산 재화 + 10%,코리와 달리기 시합중 본인의 스피드를 뽐내다 길을 헤매고 제발로 판다행성에 들어가게 됐다.
5,코리,common,느리다,무능력,코끼리와의 영역 싸움 도중을 노려 판다 종족이 치고 들어왔다. 코리는 너무 느려 저항하지 못하고 판다에게 끌려가게 된다.
15,세리,unique,당돌하다,"참참참, 판다먹이 게임 점수 환산 재화 각 +10%",부기의 오해를 바로잡기 위해 부기를 찾아 나선다. 부기를 찾아 직접 오해를 풀고 마음을 전할거야!
9,해피,rare,낯을 많이 가린다.,판다먹이 게임 점수 환산 재화 + 10%,낯을 가리는 탓에 낯선 동물과 함께 있으면 가시를 세우는 버릇이 있다. 이에 판다는 최첨단 무기 발명에 영감을 받아 해피를 거짓 계약서로 꼬드겨 판다행성에 데려간다.
10,아리,rare,성격이 고약하다.,스키 게임 점수 환산 재화 + 10%,어느날과 같이 노름에 빠져 약속을 지키지 않은 이브에게 화를 내러 가던 도중 납치되는 이브를 목격한다. 이브를 구하러 판다행성에 잠입한다.
11,앙리,rare,항상 자기가 대장이어야 한다. ,"참참참, 판다먹이 게임 점수 환산 재화 + 5%",플럼 월드를 지키는 대장의 역할을 다하기 위해 끌려간 친구들을 구출하러 판다행성으로 간다. 알리의 공을 높게 사는듯 하다.
12,부기,rare,책 읽는 것을 좋아한다. 시력이 안 좋다.,"동굴탈출, 스키 게임 점수 환산 재화 + 5%",책을 좋아하는 부기는 안 좋은 시력 탓에 라식을 하게 되고 며칠간 앓아 눕는다. 그동안 옆에서 책을 읽어준 세리의 목소리를 판다로 오해하고 판다를 만나러 판다행성으로 간다.
